date,location,subject_statuses,subject_weapon,subject_race,subject_gender,latitude,longitude,month,season,officer_count_cat,street
2013-02-23,3000 Chihuahua Street,Injured,Handgun,Latin,M,,,2,winter,2 to 3, Chihuahua Street
2010-05-03,1300 N. Munger Boulevard,Injured,Handgun,Latin,M,,,5,spring,alone, N. Munger Boulevard
2006-04-03,6512 South Loop 12,Injured,Unarmed,Black,M,,,4,spring,alone, South Loop 
2005-05-09,4900 Eastside Avenue,Shoot and Miss,Vehicle,Latin,M,,,5,spring,2 to 3, Eastside Avenue
2003-07-24,7728 S. Loop 12,Deceased,Handgun,Black,M,,,7,summer,2 to 3, S. Loop 
2003-11-12,4811 Duncanville Road,Deceased,Shotgun/Rifle,Latin,M,32.68642,-96.908674,11,autumn,2 to 3, Duncanville Road
2013-03-14,2208 W. Northwest Highway,Deceased,Handgun,Black,M,32.864,-96.898998,3,spring,alone, W. Northwest Highway
2014-10-01,4807 Maple Avenue,Shoot and Miss,Toy/Air gun,White,M,32.81482,-96.826787,10,autumn,alone, Maple Avenue
2012-02-02,2700 Medill Street,Injured,Unarmed,Black,M,32.7754,-96.767489,2,winter,alone, Medill Street
2005-12-04,400 Sunset Avenue,Shoot and Miss,Handgun,Black,M,32.74417,-96.82847,12,winter,alone, Sunset Avenue
2009-12-20,14500 Dallas North Parkway,Injured,Unarmed,Latin,M,32.945,-96.822619,12,winter,alone, Dallas North Parkway
2013-07-31,4600 Haverwood Lane,Shoot and Miss,Handgun,Latin,M,33.0073,-96.831946,7,summer,alone, Haverwood Lane
2015-06-13,1400 South Lamar Street,Deceased,Shotgun/Rifle,White,M,32.7673,-96.795013,6,summer,more than 3, South Lamar Street
2006-11-18,4515 Village Fair Place,Deceased,Handgun,Black,M,32.68943,-96.828234,11,autumn,alone, Village Fair Place
2006-02-16,1228 Oak Park Drive,Injured,Handgun,Latin,M,32.68904,-96.84436,2,winter,more than 3, Oak Park Drive
2004-12-24,4100 Garrison Street,Injured,Unarmed,Black,M,32.70298,-96.786995,12,winter,2 to 3, Garrison Street
2009-10-08,200 Ezekial Street,Shoot and Miss,Handgun,Black,M,32.7148,-96.710725,10,autumn,alone, Ezekial Street
2009-09-27,2745 Ivandell Road,Deceased,Unarmed,Latin,M,32.73648,-96.865394,9,autumn,alone, Ivandell Road
2003-01-11,2209 Northwest Highway,Shoot and Miss,Handgun,Latin,M,32.8639,-96.898068,1,winter,alone, Northwest Highway
2012-06-24,4345 W. Camp Wisdom Road,Deceased,Handgun,Black,M,32.66202,-96.890533,6,summer,alone, W. Camp Wisdom Road
2011-11-09,2500 Wells Street,Injured,Handgun,Black,M,32.73976,-96.754039,11,autumn,alone, Wells Street
2009-10-17,3902 Frank Street,Injured,Handgun,Black,M,32.77188,-96.749393,10,autumn,2 to 3, Frank Street
2003-04-23,8400 Scyene Road,Deceased,Knife,White,M,32.76332,-96.676431,4,spring,alone, Scyene Road
2006-11-07,2711 Exline Street,Shoot and Miss,Toy/Air gun,Black,M,32.75779,-96.757384,11,autumn,alone, Exline Street
2011-06-24,7152 Fair Oaks Avenue,Shoot and Miss,Vehicle,Black,M,32.87317,-96.75778,6,summer,2 to 3, Fair Oaks Avenue
2010-03-08,12222 Merit Drive,Shoot and Miss,Handgun,White,M,32.91469,-96.7718,3,spring,alone, Merit Drive
2011-03-24,230 S. Riverfront Boulevard,Injured,Handgun,Latin,M,32.77571,-96.813213,3,spring,2 to 3, S. Riverfront Boulevard
2006-02-11,200 S Madison Avenue,Shoot and Miss,Toy/Air gun,Latin,F,32.74414,-96.82649,2,winter,alone, S Madison Avenue
2009-03-17,733 Cliffview Drive,Injured,Handgun,Black,M,32.70438,-96.671745,3,spring,alone, Cliffview Drive
2003-07-09,7800 Dasch Street,Injured,Handgun,Black,M,32.72177,-96.688362,7,summer,alone, Dasch Street
2013-11-01,1524 E. Missouri Avenue,Deceased,other,Latin,M,32.71797,-96.802025,11,autumn,alone, E. Missouri Avenue
2004-07-10,4122 Rawlins Street,Injured,Handgun,White,M,32.81452,-96.810818,7,summer,alone, Rawlins Street
2014-08-25,9000 Lake June Road,Deceased,Handgun,Black,M,32.73419,-96.665266,8,summer,alone, Lake June Road
2005-03-25,2800 N. St. Augustine Drive,Deceased,Handgun,Black,M,32.75926,-96.656826,3,spring,alone, N. St. Augustine Drive
2013-10-14,9452 Crimnson Court,Injured,Knife,White,M,32.66901,-96.662659,10,autumn,alone, Crimnson Court
2014-08-11,3647 Espanola Drive,Deceased,Knife,Latin,M,32.86836,-96.856854,8,summer,alone, Espanola Drive
2009-12-18,5215 Belmont Avenue,Injured,Unarmed,White,M,32.81484,-96.780444,12,winter,alone, Belmont Avenue
2009-11-24,5716 Winton Street,Injured,Unarmed,Black,M,32.83568,-96.769373,11,autumn,alone, Winton Street
2008-06-06,1521 N. Cockrell Hill Road,Deceased,other,White,M,32.76308,-96.895315,6,summer,alone, N. Cockrell Hill Road
2015-07-07,1100 N. Bishop Blvd,Deceased,Handgun,White,M,32.75613,-96.827795,7,summer,more than 3, N. Bishop Blvd
2008-03-31,3100 Birmingham Street,Injured,Handgun,Black,M,32.77,-96.76224,3,spring,more than 3, Birmingham Street
2007-07-07,1818 N. Akard Street,Shoot and Miss,Vehicle,Black,M,32.78652,-96.802127,7,summer,alone, N. Akard Street
2013-12-09,9524 Military Parkway,Injured,Unarmed,Black,M,32.76831,-96.657518,12,winter,alone, Military Parkway
2005-12-18,2800 Indiana Street,Shoot and Miss,Handgun,Asian,M,32.7854,-96.783814,12,winter,alone, Indiana Street
2012-07-15,200 S. Pearl Street,Shoot and Miss,Handgun,Latin,M,32.78136,-96.79226,7,summer,alone, S. Pearl Street
2010-03-22,10222 N. Walton Walker Boulevard,Deceased,other,Latin,M,32.86311,-96.900308,3,spring,2 to 3, N. Walton Walker Boulevard
2008-05-11,800 Stemmons Freeway,Injured,Unarmed,White,M,32.78627,-96.8127,5,spring,2 to 3, Stemmons Freeway
2009-05-08,1900 Empire Central,Injured,Vehicle,Black,M,32.82618,-96.85714,5,spring,alone, Empire Central
2012-10-27,3716 Spring Avenue,Shoot and Miss,Unarmed,Black,M,32.7691,-96.748631,10,autumn,alone, Spring Avenue
2003-10-30,8307 Meadow Road,Injured,Vehicle,Latin,M,32.88685,-96.761546,10,autumn,alone, Meadow Road
2007-09-22,11200 Woodmeadow Parkway,Deceased,Unarmed,Black,M,32.8514,-96.646849,9,autumn,alone, Woodmeadow Parkway
2007-03-22,7000 Lake June Road,Deceased,Unarmed,Black,M,32.73424,-96.700939,3,spring,alone, Lake June Road
2016-06-10,8008 Herb Keheller,Injured,other,Black,M,32.8526,-96.85281,6,summer,alone, Herb Keheller
2011-10-01,2000 Commerce Street,Shoot and Miss,Handgun,Black,M,32.78099,-96.793979,10,autumn,alone, Commerce Street
2010-02-05,3303 W. Illinois Avenue,Injured,Handgun,White,M,32.72036,-96.87471,2,winter,alone, W. Illinois Avenue
2014-04-04,1221 S. Lamar Street,Deceased,Knife,White,M,32.76867,-96.796936,4,spring,alone, S. Lamar Street
2003-05-09,7600 S.M. Wright Freeway,Shoot and Miss,Handgun,Black,M,32.65595,-96.822788,5,spring,alone, S.M. Wright Freeway
2015-06-14,3211 Reynolds Avenue,Shoot and Miss,Handgun,Latin,M,32.78642,-96.740186,6,summer,alone, Reynolds Avenue
2008-09-16,4800 S. Lancaster Road,Deceased,Unarmed,Black,M,32.69049,-96.791435,9,autumn,alone, S. Lancaster Road
2007-08-06,9100 Stone Creek Place,Deceased,Unarmed,White,M,32.9059,-96.745461,8,summer,alone, Stone Creek Place
2006-05-27,2208 N. Carroll Avenue,Deceased,Unarmed,White,M,32.80625,-96.78443,5,spring,alone, N. Carroll Avenue
2010-11-07,3100 W. Davis Street,Deceased,Toy/Air gun,Latin,M,32.74954,-96.871586,11,autumn,more than 3, W. Davis Street
2011-11-16,2900 Spruce Valley Lane,Shoot and Miss,Unarmed,Latin,M,32.71391,-96.876091,11,autumn,alone, Spruce Valley Lane
2011-05-08,6417 Ridgecrest Road,Injured,Unarmed,Black,M,32.8664,-96.752763,5,spring,alone, Ridgecrest Road
2005-12-13,7442 Chesterfield Drive,Injured,Handgun,Black,M,32.65625,-96.869793,12,winter,alone, Chesterfield Drive
2013-02-08,6500 Skillman Street,Deceased,Shotgun/Rifle,White,M,32.8651,-96.743538,2,winter,more than 3, Skillman Street
2004-01-03,6950 Marvin D. Love Freeway,Deceased,Knife,Black,F,32.6636,-96.867936,1,winter,2 to 3, Marvin D. Love Freeway
2012-05-27,7129 Tabor Drive,Deceased,Handgun,White,M,32.87725,-96.737028,5,spring,2 to 3, Tabor Drive
2008-08-12,6800 Larmanda Street,Injured,Handgun,Black,M,32.86723,-96.74732,8,summer,2 to 3, Larmanda Street
2013-01-07,4322 Fernwood Avenue,Shoot and Miss,Handgun,Black,M,32.69435,-96.798039,1,winter,more than 3, Fernwood Avenue
2008-09-08,10333 Technology Boulevard,Shoot and Miss,Shotgun/Rifle,Latin,M,32.86305,-96.897332,9,autumn,alone, Technology Boulevard
2003-10-30,7500 Gayglen Drive,Injured,Knife,Latin,M,32.7097,-96.692775,10,autumn,2 to 3, Gayglen Drive
2004-03-07,2242 Zang Boulevard South,Shoot and Miss,Vehicle,Black,M,32.7209,-96.830217,3,spring,2 to 3, Zang Boulevard South
2007-05-30,5400 Bonita Avenue,Shoot and Miss,Unarmed,Latin,M,32.8182,-96.777416,5,spring,alone, Bonita Avenue
2006-09-29,9711 Pinehurst Lane,Injured,Handgun,Black,M,32.76506,-96.654428,9,autumn,2 to 3, Pinehurst Lane
2010-04-27,2600 Walnut Hill Lane,Shoot and Miss,Vehicle,Latin,M,32.88101,-96.888174,4,spring,alone, Walnut Hill Lane
2013-07-17,1639 Conner Drive,Deceased,Unarmed,Latin,M,32.74073,-96.680953,7,summer,alone, Conner Drive
2015-09-21,10800 Stone Canyon Rd,Deceased,Handgun,Latin,M,32.89443,-96.774734,9,autumn,2 to 3, Stone Canyon Rd
2015-08-27,3610 Penelope Street,Deceased,Toy/Air gun,Black,M,32.77078,-96.753149,8,summer,more than 3, Penelope Street
2005-02-23,8600 Cherry Brook Street,Shoot and Miss,Handgun,Latin,M,32.7387,-96.673222,2,winter,alone, Cherry Brook Street
2003-10-26,900 E. McVey Avenue,Injured,Vehicle,Latin,M,32.7095,-96.81216,10,autumn,alone, E. McVey Avenue
2012-05-22,5900 Stretch Drive,Deceased,Handgun,Black,M,32.7334,-96.92265,5,spring,alone, Stretch Drive
2008-07-18,7700 Denton Drive,Injured,Handgun,Latin,M,32.83827,-96.85136,7,summer,2 to 3, Denton Drive
2003-03-18,14655 Preston Road,Deceased,Shotgun/Rifle,White,M,32.94754,-96.803614,3,spring,alone, Preston Road
2015-09-30,4207 Wiley College Dr,Shoot and Miss,Handgun,Black,M,32.67005,-96.748462,9,autumn,alone, Wiley College Dr
